Path,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,Label
"[u'/opt/NVD/NVD_func/1/CVE-2005-3356/CVE_2005_3356_PATCHED_sys_mq_open.c']
","11
","0
","0
","0
","4
","0
","10
","10
","16
","52
","2
","3
","8
","3
","12
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-3356/CVE_2005_3356_VULN_do_create.c']
","8
","0
","0
","0
","5
","0
","5
","3
","3
","31
","2
","2
","5
","2
","8
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-3356/CVE_2005_3356_VULN_do_open.c']
","4
","0
","0
","0
","2
","0
","3
","1
","1
","24
","0
","1
","3
","2
","15
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-3356/CVE_2005_3356_VULN_mq_attr_ok.c']
","9
","0
","0
","0
","1
","0
","7
","12
","12
","18
","2
","2
","6
","5
","10
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-3356/CVE_2005_3356_VULN_sys_mq_open.c']
","9
","0
","0
","0
","4
","0
","8
","10
","16
","52
","2
","3
","6
","3
","12
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-3359/CVE_2005_3359_PATCHED___sock_create.c']
","41
","0
","0
","0
","5
","0
","11
","9
","14
","36
","1
","2
","11
","6
","26
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-3359/CVE_2005_3359_VULN___sock_create.c']
","41
","0
","0
","0
","5
","0
","11
","8
","13
","36
","1
","2
","11
","6
","26
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-3806/CVE_2005_3806_PATCHED_ipv6_flowlabel_opt.c']
","79
","3
","0
","1
","3
","0
","25
","47
","50
","150
","17
","5
","29
","12
","58
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-3806/CVE_2005_3806_VULN_ipv6_flowlabel_opt.c']
","79
","3
","0
","1
","3
","0
","25
","47
","50
","150
","17
","5
","29
","12
","58
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-3807/CVE_2005_3807_PATCHED_fcntl_setlease.c']
","7
","0
","0
","0
","3
","0
","6
","9
","9
","50
","0
","1
","6
","4
","13
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-3807/CVE_2005_3807_VULN_fcntl_setlease.c']
","7
","0
","0
","0
","3
","0
","6
","9
","9
","50
","0
","1
","6
","4
","11
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-3847/CVE_2005_3847_PATCHED_handle_stop_signal.c']
","29
","2
","0
","1
","2
","0
","14
","43
","60
","54
","5
","4
","11
","7
","21
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-3847/CVE_2005_3847_VULN_handle_stop_signal.c']
","29
","2
","0
","1
","2
","0
","14
","42
","58
","54
","5
","4
","11
","7
","22
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-3848/CVE_2005_3848_PATCHED_icmp_push_reply.c']
","3
","0
","0
","0
","3
","0
","3
","14
","15
","69
","1
","2
","2
","2
","18
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-3848/CVE_2005_3848_VULN_icmp_push_reply.c']
","2
","0
","0
","0
","3
","0
","1
","13
","14
","69
","0
","1
","1
","1
","9
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-3857/CVE_2005_3857_PATCHED_time_out_leases.c']
","4
","1
","0
","1
","1
","0
","2
","7
","7
","52
","2
","2
","3
","4
","10
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-3857/CVE_2005_3857_VULN_time_out_leases.c']
","4
","1
","0
","1
","1
","0
","2
","7
","7
","52
","2
","2
","3
","4
","10
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-4618/CVE_2005_4618_PATCHED_sysctl_string.c']
","52
","0
","0
","0
","8
","0
","12
","11
","11
","42
","8
","3
","12
","9
","14
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-4618/CVE_2005_4618_VULN_sysctl_string.c']
","56
","0
","0
","0
","8
","0
","13
","11
","11
","50
","9
","3
","13
","10
","14
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-4635/CVE_2005_4635_PATCHED_nl_fib_input.c']
","2
","0
","0
","0
","2
","0
","1
","8
","8
","68
","0
","1
","1
","1
","10
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-4635/CVE_2005_4635_VULN_nl_fib_input.c']
","1
","0
","0
","0
","2
","0
","0
","3
","3
","51
","0
","0
","0
","0
","0
",1
"[u'/opt/NVD/NVD_func/1/CVE-2005-4886/CVE_2005_4886_PATCHED_selinux_parse_skb_ipv6.c']
","7
","0
","0
","0
","2
","0
","4
","15
","15
","62
","2
","2
","5
","3
","6
",0
"[u'/opt/NVD/NVD_func/1/CVE-2005-4886/CVE_2005_4886_VULN_selinux_parse_skb_ipv6.c']
","7
","0
","0
","0
","2
","0
","4
","17
","17
","62
","2
","2
","5
","3
","6
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-0035/CVE_2006_0035_PATCHED_netlink_rcv_skb.c']
","6
","1
","0
","1
","2
","0
","5
","8
","8
","27
","3
","3
","5
","3
","13
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-0035/CVE_2006_0035_VULN_netlink_rcv_skb.c']
","6
","1
","0
","1
","2
","0
","5
","7
","7
","27
","3
","3
","5
","3
","12
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-0039/CVE_2006_0039_PATCHED_do_add_counters.c']
","7
","0
","0
","0
","2
","0
","6
","8
","8
","56
","1
","2
","6
","2
","12
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-0039/CVE_2006_0039_VULN_do_add_counters.c']
","7
","0
","0
","0
","2
","0
","6
","9
","9
","56
","1
","2
","6
","3
","14
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-1525/CVE_2006_1525_PATCHED_inet_rtm_getroute.c']
","297
","0
","0
","0
","3
","0
","14
","16
","18
","93
","3
","2
","13
","5
","23
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-1525/CVE_2006_1525_VULN_inet_rtm_getroute.c']
","297
","0
","0
","0
","3
","0
","14
","13
","13
","87
","3
","2
","13
","5
","23
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-1855/CVE_2006_1855_PATCHED_choose_new_parent.c']
","1
","0
","0
","0
","3
","0
","0
","2
","2
","20
","0
","0
","0
","0
","0
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-1855/CVE_2006_1855_VULN_choose_new_parent.c']
","2
","0
","0
","0
","3
","0
","1
","4
","4
","20
","0
","1
","1
","1
","4
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-2445/CVE_2006_2445_PATCHED_run_posix_cpu_timers.c']
","5
","0
","0
","0
","1
","0
","3
","13
","15
","46
","0
","1
","3
","2
","11
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-2445/CVE_2006_2445_VULN_run_posix_cpu_timers.c']
","3
","0
","0
","0
","1
","0
","2
","13
","15
","46
","0
","1
","2
","1
","9
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-2446/CVE_2006_2446_PATCHED_kfree_skb.c']
","3
","0
","0
","0
","1
","0
","3
","2
","2
","14
","1
","2
","2
","2
","6
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-2446/CVE_2006_2446_VULN_kfree_skb.c']
","2
","0
","0
","0
","1
","0
","1
","2
","2
","14
","0
","1
","1
","1
","5
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-2448/CVE_2006_2448_PATCHED_do_setcontext.c']
","4
","0
","0
","0
","3
","0
","3
","2
","2
","30
","0
","1
","3
","2
","12
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-2448/CVE_2006_2448_PATCHED_restore_sigcontext.c']
","68
","1
","0
","1
","4
","0
","11
","16
","16
","108
","2
","2
","5
","3
","16
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-2448/CVE_2006_2448_PATCHED_sys_debug_setcontext.c']
","8
","1
","0
","1
","7
","0
","5
","6
","6
","53
","2
","3
","6
","2
","16
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-2448/CVE_2006_2448_VULN_do_setcontext.c']
","4
","0
","0
","0
","3
","0
","3
","2
","2
","30
","0
","1
","3
","2
","12
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-2448/CVE_2006_2448_VULN_restore_sigcontext.c']
","60
","1
","0
","1
","4
","0
","10
","16
","16
","100
","2
","2
","4
","2
","14
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-2448/CVE_2006_2448_VULN_sys_debug_setcontext.c']
","7
","1
","0
","1
","7
","0
","4
","6
","6
","29
","2
","3
","5
","2
","11
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-2778/CVE_2006_2778_PATCHED_nsCrypto__SignText.c']
","3372
","6
","1
","2
","3
","0
","42
","17
","17
","166
","9
","5
","45
","7
","53
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-2778/CVE_2006_2778_VULN_nsCrypto__SignText.c']
","3372
","6
","1
","2
","3
","0
","42
","17
","17
","166
","9
","5
","45
","7
","53
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-2934/CVE_2006_2934_PATCHED_do_basic_checks.c']
","6
","0
","0
","0
","3
","0
","3
","7
","7
","28
","0
","1
","2
","2
","11
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-2934/CVE_2006_2934_VULN_do_basic_checks.c']
","6
","0
","0
","0
","3
","0
","3
","7
","7
","28
","0
","1
","2
","2
","11
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-2935/CVE_2006_2935_PATCHED_dvd_read_bca.c']
","3
","0
","0
","0
","2
","0
","2
","9
","9
","37
","0
","1
","2
","1
","10
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-2935/CVE_2006_2935_VULN_dvd_read_bca.c']
","3
","0
","0
","0
","2
","0
","2
","9
","9
","37
","0
","1
","2
","1
","10
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-3741/CVE_2006_3741_PATCHED_sys_perfmonctl.c']
","136
","0
","0
","0
","4
","0
","19
","2
","2
","89
","3
","2
","19
","10
","28
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-3741/CVE_2006_3741_VULN_sys_perfmonctl.c']
","72
","0
","0
","0
","4
","0
","18
","2
","2
","89
","3
","2
","18
","10
","28
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-4813/CVE_2006_4813_PATCHED___block_prepare_write.c']
","140
","4
","0
","1
","5
","0
","21
","9
","9
","89
","13
","5
","15
","12
","19
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-4813/CVE_2006_4813_VULN___block_prepare_write.c']
","122
","3
","0
","1
","5
","0
","20
","8
","8
","89
","12
","5
","15
","9
","17
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-5462/CVE_2006_5462_PATCHED_RSA_CheckSign.c']
","11
","1
","0
","1
","5
","0
","9
","3
","3
","37
","1
","2
","10
","5
","15
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-5462/CVE_2006_5462_VULN_RSA_CheckSign.c']
","12
","1
","0
","1
","5
","0
","9
","3
","3
","37
","2
","2
","10
","5
","15
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-5751/CVE_2006_5751_PATCHED_get_fdb_entries.c']
","8
","0
","0
","0
","4
","0
","4
","0
","0
","26
","1
","2
","3
","2
","6
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-5751/CVE_2006_5751_VULN_get_fdb_entries.c']
","8
","0
","0
","0
","4
","0
","4
","0
","0
","30
","1
","2
","3
","2
","6
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-6106/CVE_2006_6106_PATCHED_cmtp_recv_capimsg.c']
","8
","0
","0
","0
","2
","0
","7
","14
","14
","36
","0
","1
","6
","2
","14
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-6106/CVE_2006_6106_PATCHED_cmtp_recv_interopmsg.c']
","40
","0
","0
","0
","2
","0
","14
","53
","53
","54
","14
","3
","16
","7
","13
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-6106/CVE_2006_6106_VULN_cmtp_recv_capimsg.c']
","7
","0
","0
","0
","2
","0
","6
","13
","13
","36
","0
","1
","5
","1
","12
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-6106/CVE_2006_6106_VULN_cmtp_recv_interopmsg.c']
","30
","0
","0
","0
","2
","0
","8
","45
","45
","54
","8
","3
","10
","5
","11
",1
"[u'/opt/NVD/NVD_func/1/CVE-2006-6333/CVE_2006_6333_PATCHED_tr_rx.c']
","4
","1
","0
","1
","1
","0
","12
","29
","29
","75
","4
","3
","1
","4
","21
",0
"[u'/opt/NVD/NVD_func/1/CVE-2006-6333/CVE_2006_6333_VULN_tr_rx.c']
","4
","1
","0
","1
","1
","0
","12
","29
","29
","75
","4
","3
","1
","4
","21
",1
"[u'/opt/NVD/NVD_func/1/CVE-2007-0006/CVE_2007_0006_PATCHED_key_alloc_serial.c']
","9
","3
","0
","1
","1
","0
","7
","17
","17
","87
","4
","3
","3
","5
","9
",0
"[u'/opt/NVD/NVD_func/1/CVE-2007-0006/CVE_2007_0006_VULN_key_alloc_serial.c']
","23
","3
","0
","1
","1
","0
","11
","20
","20
","99
","5
","3
","3
","5
","12
",1
"[u'/opt/NVD/NVD_func/1/CVE-2007-1000/CVE_2007_1000_PATCHED_do_ipv6_getsockopt.c']
","239
","0
","0
","0
","5
","0
","25
","41
","41
","80
","18
","3
","24
","5
","34
",0
"[u'/opt/NVD/NVD_func/1/CVE-2007-1000/CVE_2007_1000_PATCHED_ipv6_getsockopt_sticky.c']
","3
","0
","0
","0
","4
","0
","2
","2
","2
","24
","0
","1
","2
","1
","7
",0
"[u'/opt/NVD/NVD_func/1/CVE-2007-1000/CVE_2007_1000_VULN_do_ipv6_getsockopt.c']
","239
","0
","0
","0
","5
","0
","25
","42
","43
","84
","18
","3
","24
","5
","34
",1
"[u'/opt/NVD/NVD_func/1/CVE-2007-1000/CVE_2007_1000_VULN_ipv6_getsockopt_sticky.c']
","3
","0
","0
","0
","4
","0
","2
","0
","0
","16
","0
","1
","2
","2
","4
",1
"[u'/opt/NVD/NVD_func/1/CVE-2007-1217/CVE_2007_1217_PATCHED_bufprint.c']
","5
","1
","0
","1
","2
","0
","3
","19
","19
","36
","2
","2
","4
","2
","7
",0
"[u'/opt/NVD/NVD_func/1/CVE-2007-1217/CVE_2007_1217_VULN_bufprint.c']
","1
","0
","0
","0
","1
","0
","0
","0
","0
","8
","0
","0
","0
","0
","0
",1
"[u'/opt/NVD/NVD_func/2/CVE-2007-3642/CVE_2007_3642_PATCHED_decode_choice.c']
","29
","0
","0
","0
","4
","0
","11
","21
","21
","81
","2
","3
","9
","5
","25
",0
"[u'/opt/NVD/NVD_func/2/CVE-2007-3642/CVE_2007_3642_PATCHED_decode_seq.c']
","54
","2
","0
","1
","4
","0
","16
","32
","32
","92
","10
","3
","16
","9
","29
",0
"[u'/opt/NVD/NVD_func/2/CVE-2007-3642/CVE_2007_3642_VULN_decode_choice.c']
","28
","0
","0
","0
","4
","0
","10
","20
","20
","81
","3
","2
","6
","5
","24
",1
"[u'/opt/NVD/NVD_func/2/CVE-2007-3642/CVE_2007_3642_VULN_decode_seq.c']
","54
","2
","0
","1
","4
","0
","16
","31
","31
","92
","10
","3
","16
","8
","29
",1
"[u'/opt/NVD/NVD_func/2/CVE-2007-4521/CVE_2007_4521_PATCHED_play_message.c']
","49160
","0
","0
","0
","3
","0
","28
","45
","67
","100
","2
","3
","20
","8
","49
",0
"[u'/opt/NVD/NVD_func/2/CVE-2007-4571/CVE_2007_4571_PATCHED_snd_mem_proc_read.c']
","1
","0
","0
","0
","2
","0
","0
","4
","4
","42
","0
","0
","0
","0
","0
",0
"[u'/opt/NVD/NVD_func/2/CVE-2007-4571/CVE_2007_4571_VULN_snd_mem_proc_read.c']
","1
","0
","0
","0
","6
","0
","0
","4
","4
","52
","0
","0
","0
","0
","0
",1
"[u'/opt/NVD/NVD_func/2/CVE-2007-6151/CVE_2007_6151_PATCHED_isdn_ioctl.c']
","271
","9
","1
","2
","4
","0
","112
","40
","52
","209
","61
","7
","98
","24
","68
",0
"[u'/opt/NVD/NVD_func/2/CVE-2007-6151/CVE_2007_6151_VULN_isdn_ioctl.c']
","271
","9
","1
","2
","4
","0
","112
","40
","52
","205
","61
","7
","98
","24
","68
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-0420/CVE_2008_0420_PATCHED_nsBMPDecoder__ProcessData.c']
","1146532
","14
","9
","3
","2
","0
","58
","11
","11
","212
","37
","8
","68
","21
","41
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-0420/CVE_2008_0420_VULN_nsBMPDecoder__ProcessData.c']
","1146532
","14
","9
","3
","2
","0
","58
","11
","11
","210
","37
","8
","68
","21
","41
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-1294/CVE_2008_1294_PATCHED_sys_setrlimit.c']
","14
","0
","0
","0
","2
","0
","10
","11
","15
","57
","0
","1
","10
","6
","20
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-1294/CVE_2008_1294_VULN_sys_setrlimit.c']
","11
","0
","0
","0
","2
","0
","10
","11
","15
","57
","1
","2
","10
","5
","21
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-1390/CVE_2008_1390_PATCHED_generic_http_callback.c']
","306577
","4
","0
","1
","7
","0
","36
","57
","64
","187
","14
","5
","28
","14
","38
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-1390/CVE_2008_1390_VULN_generic_http_callback.c']
","306575
","3
","0
","1
","7
","0
","36
","57
","64
","187
","13
","5
","27
","13
","36
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-2750/CVE_2008_2750_PATCHED_pppol2tp_recvmsg.c']
","8
","0
","0
","0
","5
","0
","6
","8
","8
","39
","1
","2
","5
","3
","10
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-2750/CVE_2008_2750_VULN_pppol2tp_recvmsg.c']
","4
","0
","0
","0
","5
","0
","3
","7
","7
","45
","1
","2
","3
","1
","6
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-2826/CVE_2008_2826_PATCHED_sctp_getsockopt_local_addrs_old.c']
","24
","0
","0
","0
","4
","0
","12
","10
","11
","110
","2
","2
","11
","3
","22
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-2826/CVE_2008_2826_VULN_sctp_getsockopt_local_addrs_old.c']
","24
","0
","0
","0
","4
","0
","12
","10
","11
","110
","2
","2
","11
","3
","21
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-3275/CVE_2008_3275_PATCHED___lookup_hash.c']
","7
","0
","0
","0
","3
","0
","6
","6
","8
","38
","3
","2
","4
","2
","10
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3275/CVE_2008_3275_PATCHED_real_lookup.c']
","7
","0
","0
","0
","3
","0
","7
","9
","11
","60
","3
","3
","6
","4
","9
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3275/CVE_2008_3275_VULN___lookup_hash.c']
","5
","0
","0
","0
","3
","0
","5
","6
","8
","38
","2
","2
","3
","2
","8
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-3275/CVE_2008_3275_VULN_real_lookup.c']
","6
","0
","0
","0
","3
","0
","6
","9
","11
","62
","2
","3
","5
","4
","7
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-3527/CVE_2008_3527_PATCHED_arch_setup_additional_pages.c']
","3
","0
","0
","0
","2
","0
","2
","6
","7
","39
","0
","1
","2
","1
","3
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3527/CVE_2008_3527_PATCHED_sysenter_setup.c']
","2
","0
","0
","0
","0
","0
","1
","0
","0
","18
","0
","1
","1
","1
","2
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3527/CVE_2008_3527_VULN_arch_setup_additional_pages.c']
","4
","0
","0
","0
","2
","0
","3
","17
","18
","56
","0
","1
","3
","1
","5
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-3527/CVE_2008_3527_VULN_sysenter_setup.c']
","2
","0
","0
","0
","0
","0
","1
","0
","0
","10
","0
","1
","1
","1
","2
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-3686/CVE_2008_3686_PATCHED_rt6_fill_node.c']
","132195
","0
","0
","0
","11
","0
","40
","52
","58
","94
","9
","5
","28
","15
","54
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3686/CVE_2008_3686_VULN_rt6_fill_node.c']
","132195
","0
","0
","0
","11
","0
","40
","52
","58
","86
","9
","5
","28
","16
","54
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_PATCHED_sctp_getsockopt_active_key.c']
","10
","0
","0
","0
","4
","0
","8
","3
","4
","32
","0
","1
","7
","3
","14
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_PATCHED_sctp_getsockopt_hmac_ident.c']
","6
","0
","0
","0
","4
","0
","5
","6
","7
","46
","0
","1
","5
","2
","15
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_PATCHED_sctp_getsockopt_local_auth_chunks.c']
","20
","0
","0
","0
","4
","0
","11
","7
","8
","65
","0
","1
","10
","3
","22
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_PATCHED_sctp_getsockopt_peer_auth_chunks.c']
","12
","0
","0
","0
","4
","0
","9
","5
","5
","55
","0
","1
","9
","3
","17
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_PATCHED_sctp_setsockopt_active_key.c']
","5
","0
","0
","0
","3
","0
","4
","1
","1
","21
","0
","1
","4
","2
","11
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_PATCHED_sctp_setsockopt_auth_chunk.c']
","8
","0
","0
","0
","3
","0
","3
","1
","1
","15
","0
","1
","4
","2
","7
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_PATCHED_sctp_setsockopt_auth_key.c']
","6
","0
","0
","0
","3
","0
","5
","3
","3
","28
","0
","1
","5
","3
","11
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_PATCHED_sctp_setsockopt_del_key.c']
","5
","0
","0
","0
","3
","0
","4
","1
","1
","21
","0
","1
","4
","2
","11
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_PATCHED_sctp_setsockopt_hmac_ident.c']
","6
","0
","0
","0
","3
","0
","5
","3
","3
","22
","0
","1
","5
","3
","8
",0
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_VULN_sctp_getsockopt_active_key.c']
","5
","0
","0
","0
","4
","0
","5
","3
","4
","31
","0
","1
","4
","2
","10
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_VULN_sctp_getsockopt_hmac_ident.c']
","4
","0
","0
","0
","4
","0
","3
","4
","5
","30
","0
","1
","3
","3
","9
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_VULN_sctp_getsockopt_local_auth_chunks.c']
","13
","0
","0
","0
","4
","0
","9
","7
","8
","65
","0
","1
","8
","4
","20
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_VULN_sctp_getsockopt_peer_auth_chunks.c']
","8
","0
","0
","0
","4
","0
","7
","5
","5
","55
","0
","1
","7
","4
","15
",1
"[u'/opt/NVD/NVD_func/2/CVE-2008-3792/CVE_2008_3792_VULN_sctp_setsockopt_active_key.c']
","4
","0
","0
","0
","3
","0
","3
","1
","1
","21
","0
","1
","3
","2
","10
",1
